"Blocking Key Value","Frequency"
"STPS3,EADEFOX360,DAPS3,LOOFTHX360,HUTHREXB,PLVSZOPS4,PLVSZOPS3,LEPIOFPC,LESTWA3DS,MEGESOXOne,MANF20GBA,MALEBAPC,SNGHWAPS3,BIX360,BODS,BOPC,PLVSZOXOne,SUMAWOGBA,BRINARPS2,MANF20XB,SNGHWAX360,MANF20GC,GUPSP,MOKODEXB,MOKODEGC,MASUHEDS,TOHAPRGC,CAOFJUPS3,PRXZO3DS,PREVSO3DS,PIOFTHPS2,TOCLRAPS2,KIOFFIPS3,BIPS3,LEHAPOPSV,MA&LUDS,DASOIIPS4,BRINARXB,TEMUNIGBA,LEHAPO3DS,LE4DEPC,TOCLGHPSP,HAPOANWii,MOHUFRPSP,WIPC,HAPOANX360,MEGESOPS4,HAPOANPS3,DAIIPC,WIPO7PS3,CAOFDUWiiU,CAGBA,JUDAKIWii,BE10ALPSP,GRTU5PS3,DASOIIXOne,LEMASUPC,DEX360,DEMACRPC,MICL3:PS2,JUDAWIWii,MICL3:XB,SPPC,MOKODEPS2,TEMUNIPS3,MEOFHOGBA","8"
"AGOFEMPC,DADAREPS2","77"
"PRCYMAPC,FRPC,LEOFHEPSV,YODOKNPC,BUPC,PIOFTHPC,ROPC,CHMA20PC,POPRKUDS,WOOFTAPC","7"
"GOOFWAPS3,DRBAZ:PS2,POMYDUDS,PREVSOPSP","72"
"SIPS2,SIPS3,EASPUFPS4,SUXB,FIFACRWii,BI2PS3,COHO2KPS2,INELSTWii,FIFALEGB,CODESTXB,STWATHPSP,DISIITX360,GOOFWAPSP,GOOFWAPS2,MALEBAXB,BIPC,CODESTGC,PHWRAC3DS,MO'0X360,LEOFSPDS,MAVSCADC,STFIALPS,ALANTHWii,NOMOHEPS3,BLXB,COHO2KX360,REEVREPS3,TRREOFPS3,TRREOFPS2,TRREOFPSP,REEVREX360,TOCLRAPS,CAVSSNXB,STWAEPN64,KUFUPAX360,RIOFTHPC,MANF20N64,FIOFTHX360,MOPS2,TOCLSPGBA,SUSWGOWii,DUDEPC,ROOFTHSNES,KARIBAPS3,RAPS,TEDRUNPC,TENES,BRINARPS3,BI2X360,BRINARX360,TEPS4,TRDAOFDS,KIOFFIX360,LEOFZEWii,CAVSSNPS2,INPS3,KUFUPAPS3,TORATHPC,ROBATRWii,SUMODESNES,MA&SODS,TRFIFA3DS,NAULNIPSP,SAPS3,TOHAPRGB,DRQUVIDS,SAX360,CADAHUWii,SUMAWOSNES,CODESTPS2,DRAGORPC,DYWAGUPS2,DRQUMODS,STWATHXB,SUPS2,TORADRXB,DIX360,SUMOBAWii,PRGORAXB,ARTHLAPS,TRDAOFWii,ASURGTDS,TRDAOFX360,COMCRAPS2,BOTHPRPC,JIMIFIWii,LEOFZEN64,GUXB,SDGUGPSP,LOOFTHDS,MEMABADS,DEORALXB,MIARTRXB,BIINPC,INSUSOPS,DIPS3,MEOFHOPS,TRREOFX360,TORA(2PC,FIOFTHPS3,MASUHEX360,CO&CON64,MASUHEPS3,JAANDAPS2,HAPOANPSP,WAPSP,ADOFLONES,DRQUVISNES,STWAEMPC,WOPC,TRDAOFPS3,MEOFHOWii,NF2KDC,ADOFJIPS2,BAN64,POBORUGC,BLHETHPSP,DEPS3,TRREOFWii,NACLOFGC,ADOFJIGC,CRBAPUGBA,HA2PC,ALANTHDS,TRREOFPC,DRBAZSNES,TEDRUNX360,TAOFDEPS2,DO3PC,HOTHREPC,PROFPEWii,SHMETEDS,DOKOCOGB","6"
"LEHAPOPC","70"
"LEOFHEPS3,COOFHEPC,SIMEPIPC,INSESOPS4,ALVSPRPC,FOMA20PSP,MAES2PS2,MAES2PS3,SDGUGPS,SSONTOGC,LEINJOPS2,GRPC,MAES2X360,MAES2Wii,JIPOPRGC,ROOFTHPS2,STWASHN64,DRQUIXDS,KISEGUPS2,SKPS3,SIPOHIPS2,COFLSIPC,JIPOPRSNES,MAES2PC,MAES2DS","5"
"NEFOSPGC,NEFOSPXB","65"
"NB2KPS2,MALEBAX360","64"
"TIWOPGX360","63"
"LEOFZEGB,NEFOSPGBA,LESTWAX360","60"
"STPSP,BI2PC,PEOFMADS,EYPS3,NEFOSPPS4,EASPUFXOne,STOFSE3DS,COHO2KPS3,NEFOSPXOne,CADAHUPS3,LEPIOFDS,DIHATRPS,UMNONAPS3,JUDAKIX360,PANES,ROOFTHPS,LETHLOPC,LEOFSPPS2,INSUSOSNES,TAOFXIPS3,WIOFWADS,NEFOSPWiiU,FRTVANPS,DRWAIINES,GOOFWAPS4,LOOFTHPSP,TOCLRAXOne,TIX360,WOOPWAPSP,RE2RUN64,KEIIPS2,BOLATODS,BAGADAXB,GUHEIIPS2,WW'1X360,LEOFZEDS,CR2X360,MIX360,TYTHTAGBA,DRQUVIPS2,REEVREPS4,TIWOPGDS,WOSEBAXB,TOCLHAX360,BOPS2,TIWOPGGBA,TOCLRAGC,BRQUGRDS,CR2PC,STOFEMPS2,LEOFSPWii,PIOFTHX360,TEXOne,MOPS3,PUPS3,SAFRRUN64,ALSTCHWii,WW2KPS4,MEMALEPS,AVTHLAPS2,LEMASUPS4,YOSHFIX360,TEGB,MAECGEPS2,TANOTADS,ATOFFUPSP,BABACOPS3,WW'1PS3,NCFIFOPS2,LIISSTXOne,MOSUGUPS,20FIWOPS2,CADAHUXB,MLSL20GC,HIHEMAPS2,HISCMUX360,TAOFPHPSP,ARMESAPS,MEGEACPSP,WAGR3DN64,KUFUPAPC,HEOFIRPC,REOFAGX360,ICAGDAPC,DIPRENWii,PHSTUNPS2,ARMESAN64,MYDS,DAIIPS3,KIDRLAGB,SBSUWOPS3,CADAHUX360,FUSPWAPS2,INPC,DDDADAPS2,FIFAIIPSP,WIPUPSP,PQPRINPSP,WWDAOFGC,SUMOBAPS2,MASUHEPS,NB2KGC,SDGUGDS,PAANTHPS3,TOCLHAPS3,CAOFDUGC,FINIROPS3,BRINARWii,PIOFTHPS3,FIFAXPS2,TRPC,SIMEPC,MISTMOPC,MAULALPS3,MAULALPS2,MAULALPSP,MIPS3,TOCLRAPS4,SKX360,FIFAIINES,NH2KPS3,PAANTHX360,POPIRUGBA,GRTU4PS2,DRBAZ:PS,REEVTHWii,DRBARAX360,WW'1Wii,FAX360,CTSPFOGBA,STFIXPC,DETORIPS2,GRPS,BROFFIPS,ONPIPIPSV,LE4DEX360,WAPC,JABO00GBA,HAFAGAX360,NANICODS,ICAGDAX360,SDGUGPS2,LEPIOFPS3,LEPIOFPSP,JEMCSUPS,DRGBA,BIBESPWii,SMCOTEPS2,MAULALWii,BUAGRPS,MAHOPRGBA,BAHOADPS2,SOIIPS2,FUSPWAXB,WESIROWii,TOCLGHPS3,DRQUIVDS,MIFLSIPC,DRQUIVPS,FACRINXB,GRTHAUXB,EVPC,SUROWADS,LIISSTPS4,SKSPADPC,WOCHPOPS2,MAULALX360,VACHIIPSP,LEPIOFWii,DAIIX360,MEGESOPSV,NF2KPS2,NFBL20GC,TOCLHAPC,ABULIPS,KIHEBIPSP,WAPS3,SHJUONPS2,SOANTHWii,DEORALPSV,SUFOSOSNES,SLDOPC,GUHEWOPC,PAANTHWiiU,ICAGDAWii,S.SHOFPC,PLVSZOX360,CASCSCDS,PIHAOFWii,NF2KXB,KA&LYX360,FAIIX360,FAFE20Wii,HOOFTHWii,3RSUROPS3,BAGADAPS2,ALBA20N64,MANES,COX360,SHWHSNWii,GRIIPS2,SHOFTHPS3,DEPS4,TRWAFODS,DRBARAPS3,TOCLGHGC,MEMAZXDS,TEMUNIDS,MVBA20GC,MTMUGEPS2,WAOFTHPS3,LEOFWRPS2,MEMAXTGB,KA&LYPS3,BABACOX360,TORADRPS2,AGOFMYPC,LEOFKAPS2,ICAGDAPS2,ICAGDAPS3,INTR&PS,SHMETEPS,KISEGUPS3,GUHEIIX360,KNKI20PS2,RIPS3,LEPIOFX360,HODS,ASCRBRPC,MEOF6:PS2,HOPC,MAIIPC,RE2RUPS,FRPS2,NAPS2,LEMASUXOne,REEVREPC,FINIROX360,DETORIXB,PAANTH3DS,MXVSATPS2,YUWOCHDS,ZOOFTHPS2,SUMAGAWii,SI20PC,LEOFWRGC,NIGASIPS3,NIGASIPSV,MOHU43DS,NANIDEDS,LEOFWRXB","4"
"DEBL2X360,UNSTTHGC,JUPAOPPS2,PO2PC,EPMI2:Wii,DIPS,LEOFKAPC,CAX360,HAPOQUGBA,PIOFTHWii,TORAPC,LECIUNWiiU,SIRORAGC,SIRORAXB,DEFOBLPS2,INEL3DS,TOWAROPC,TORACHPS,HUTHREGC,TIFUPEPS2,KISHFAPS4,BUX360,ASCRIVPS4,ASCRIVPS3,MISTMOXOne,XEWAPRPS,GOOFWAPSV,ASCRSYPC,ENTEQUPC,DRQUV:SNES,PEJAKIPS2,PEJAKIPSP,DRQUV:DS,EPMI2:X360,DRBAORDS,MO&BLPC,STFIEXPS2,SS3GC,WHWATODS,SS3XB,DYLIPC,BIHEGC,BIHEDS,WOSOWIPSP,DERI2:X360,SUMEBOPC,BOPS3,FRMIALPS,MEGESOGB,DI2PC,STWABADS,MOPS,MEGESOPS,INJOANPS2,DEJAFIXB,VIPC,GRAUX360,AROFTWPSP,NIGA3WiiU,JAKEPC,NIGA3PS3,AVTHLADS,DEJAFIGC,ADOFTI3DS,MLSL20XB,X-LEIIGC,COARCOPSP,MEOFWAPC,20FIWOPSP,JABO00PC,NCMAMAXB,XC2PC,XCENUNPC,SOPATHPC,JUPAOPXB,SISOPC,RIX360,JUPAOPPC,RARARAPC,RAPS3,TEPS3,MAVSCAX360,HO2PC,SISKPS2,X-LEIIXB,BOWii,ADOFTIX360,PHSTONGC,DESPX360,ASCRSYPS4,STWAEPPS2,PHSTPOPSP,SBSUWOPS2,MISTMOPS4,ASCRIVX360,HACOEVPC,SCUNWiiU,TITOADGBA,FINIROXB,IN2PS3,MELALIPC,EPMI2:PS3,UECHLEPSP,F-WOGRN64,HAPOQUPS2,WHWATOWii,NH2KWii,WOSEOFPS2,GRTHAUPS4,DRQUMOGB,NIGA3X360,BABA20GBA,SL2:BAPS3,SL2:BAPS2,TEDROFPS,WOCHPOXB,ME20PC,NBINTHN64,BLBOPC,KEPS2,SEII10PC,ABULIN64,X-LEIIPSP,X-LEIIPS2,HAMIPRPSV,HAMIPRPSP,PEJAKIX360,BIHEWii,JOLORUPC,EPMI2:WiiU,TOST3:Wii,HAPOQUGC,IC2:IJWii,ASCRIVWiiU,FOHO2XOne,SUBOSNES,MISTMOX360,HAPOQUXB,CHOFRIPC,DEBL2Wii,DRQUIISNES,FIWOCUPS2,LEOFZENES,SS3GBA,DEORNODS,SSPS2,BOX360,DEJAFIPS2,ALSTPRPS2,GRAUPS3,X3TECOPC,MAVSCAPS3,HUTHREPS2,REEVREXOne,MAANASPS,WELOGOWii,BAARORX360,GEOFWAPC,DESPPC,SHJUONGC,MOX360,DRBAZ:Wii,ALVSPRPSP,FOMA20X360,JOBIADPS,SS3PS2,BLGBA,SUSTFISNES,DADAREX360,FI06ROX360,TWWOIIPC,DRQUMO3DS,ASCRIVPC,TIFUPEXB,EMTOWAPC,TIFUPEGC,ADOFTIPS3,BAARORPS3,BE10ALX360,DRPS4,SEMOAWii,ONPIUNWii,CRBA2:PS,BO2PC,SHSI20PC,DEORALPS3,PDWOCHWii,TOST3:PSP,TOST3:PS3,ASCRSYXOne,MLSL20PS2,BAARKNPC,PHSTONPSV,KIMEPSV,SIRORAPS2,YOWOWOWiiU,MVBA20XB,SWARONPS4,TR5PC,TOHAPRPSP,ALBA20GC,MVBA20PS2,MISHOFPC,BLPS3,BAPS2,TOST3:X360,ADOFTIWii,DESPPS3,PREVSODS,POPEDS,TEMUNIGB,TORAUNPC,WAOFTHPSP,JUDAKIPS3,BIHEX360,DEFOBLXB,FASI20PC,BAARORPC,QU4PC,NCGA20PS2,HAFAGAPS3,UECHLEX360,MEMAIIGB,DEBL2PS3,ASCRIVXOne,SOGB,IC2:IJDS,SIRORAGBA,SAWACH3DS,NH2KXB,CAOFDUPSV,PEJAKIXB,FIEMFA3DS,DEBL2DS,DRQUV:PS2,NIGADRDS,DRQUSWWii,PEJAKIDS,PEJAKIGC,YUTHSAGBA,TOST3:DS","3"
