"Blocking Key Value","Frequency"
"BOPC","170"
"DAPC","168"
"BAPC","166"
"INPC","131"
"COPC","129"
"PRPC","126"
"RIPC","123"
"RAPC","120"
"TIPC","108"
"STPC","620"
"DEPC","468"
"MAPC","390"
"SPPC","334"
"CRPC","264"
"BRPC","228"
"DIPC","207"
"MOPC","202"
"TEPC","198"
"PAPC","194"
"HOPC","106"
"SAPC,ROPC","102"
"BLPC","100"
"WAPC,WIPC,TRPC","92"
"HAPC","77"
"OVPC","74"
"WOPC","60"
"VIPC","56"
"TOPC","55"
"DOPC","54"
"DUPC","50"
"BIPC","46"
"BUPC","45"
"FRPC","41"
"EVPC","39"
"SEPC","37"
"SYPC","36"
"LEPC,VOPC","32"
"TUPC","31"
"VEPC","30"
"FUPC","23"
"CEPC","21"
"TRDEPC,MYPC","14"
"PHPC","12"
