"Blocking Key Value","Frequency"
"INPC","124"
"COPC","120"
"RIPC","117"
"RAPC,SIPC","116"
"PRPC","114"
"TIPC","108"
"ROPC","101"
"BLPC","99"
"STPC","580"
"DEPC","423"
"MAPC","363"
"SPPC","328"
"BRPC","216"
"DIPC","195"
"PAPC","178"
"CRPC","172"
"BOPC","168"
"DAPC","165"
"HOPC","98"
"MOPC","96"
"TRPC","91"
"WAPC","78"
"HAPC","77"
"OVPC","72"
"WOPC","56"
"VIPC","53"
"DOPC","52"
"TOPC","51"
"DUPC,SAPC","47"
"BIPC","46"
"BUPC","43"
"WIPC","42"
"EVPC","39"
"FRPC","37"
"SYPC","36"
"LEPC,SEPC","32"
"TUPC","30"
"VEPC","29"
"FUPC","23"
"CEPC","19"
"TRDEPC,MYPC","14"
"PHPC","12"
